timestamp,recv_fps,det_fps,cpu_util,gpu_util
2026-07-05 11:25:15,153605.53,19.74,61.2,88.0
2026-07-05 11:25:16,145745.38,19.59,55.9,85.0
2026-07-05 11:25:17,138194.26,19.62,64.2,81.0
2026-07-05 11:25:17,143333.33,19.62,57.7,81.0
2026-07-05 11:25:17,143333.33,19.62,29.1,0.0
2026-07-05 11:25:18,152117.1,19.93,45.9,82.0
2026-07-05 11:25:18,152463.36,20.05,50.6,82.0
2026-07-05 11:25:19,152463.36,20.05,24.3,0.0
2026-07-05 11:25:20,152463.36,20.05,16.0,0.0
2026-07-05 11:25:20,152463.36,20.05,16.4,0.0
2026-07-05 11:25:20,146705.95,20.26,31.6,0.0
2026-07-05 11:25:21,142142.46,20.83,56.1,86.0
2026-07-05 11:25:21,140095.48,20.96,31.0,86.0
2026-07-05 11:25:22,140095.48,20.96,19.0,0.0
2026-07-05 11:25:22,140095.48,20.96,20.8,0.0
2026-07-05 11:25:23,140095.48,20.96,18.2,0.0
2026-07-05 11:25:23,140095.48,20.96,17.5,0.0
2026-07-05 11:25:24,140095.48,20.96,16.0,0.0
2026-07-05 11:25:24,140095.48,20.96,17.4,0.0
2026-07-05 11:25:25,140095.48,20.96,11.5,0.0
2026-07-05 11:25:25,140095.48,20.96,25.3,0.0
2026-07-05 11:25:26,154558.19,19.32,39.4,0.0
2026-07-05 11:25:26,152732.52,21.3,46.0,0.0
2026-07-05 11:25:27,150389.96,21.13,64.1,85.0
2026-07-05 11:25:27,159521.55,21.13,38.7,0.0
2026-07-05 11:25:28,153724.09,20.83,46.0,87.0
2026-07-05 11:25:28,141899.3,19.32,64.5,87.0
2026-07-05 11:25:29,141899.3,19.32,31.8,0.0
2026-07-05 11:25:29,141899.3,19.32,27.2,0.0
2026-07-05 11:25:30,149419.75,19.63,25.2,0.0
2026-07-05 11:25:30,150747.51,21.04,46.9,85.0
2026-07-05 11:25:31,150465.31,21.01,30.7,85.0
2026-07-05 11:25:31,150465.31,21.01,16.9,0.0
2026-07-05 11:25:32,149040.8,21.15,40.9,0.0
2026-07-05 11:25:32,145384.78,21.1,47.6,0.0
2026-07-05 11:25:33,144858.81,20.62,25.0,51.0
2026-07-05 11:25:33,144858.81,20.62,14.8,0.0
2026-07-05 11:25:34,146648.72,21.25,45.0,84.0
2026-07-05 11:25:34,147490.33,20.75,54.2,84.0
2026-07-05 11:25:35,146770.6,20.37,26.8,0.0
2026-07-05 11:25:35,146770.6,20.37,28.6,0.0
2026-07-05 11:25:36,155085.28,20.6,46.0,83.0
2026-07-05 11:25:36,150074.53,20.19,48.0,83.0
2026-07-05 11:25:37,150074.53,20.19,19.1,0.0
2026-07-05 11:25:37,150074.53,20.19,20.9,0.0
2026-07-05 11:25:38,156187.77,20.57,48.5,85.0
2026-07-05 11:25:38,153101.14,20.26,54.9,85.0
2026-07-05 11:25:39,153101.14,20.26,33.7,0.0
2026-07-05 11:25:39,155655.27,20.87,35.3,0.0
2026-07-05 11:25:40,152085.1,21.74,45.0,0.0
2026-07-05 11:25:40,152085.1,21.74,16.2,0.0
2026-07-05 11:25:41,152085.1,21.74,19.8,0.0
2026-07-05 11:25:42,152085.1,21.74,24.0,0.0
2026-07-05 11:25:42,157558.54,21.39,46.3,0.0
2026-07-05 11:25:42,155894.95,21.16,26.4,7.0
2026-07-05 11:25:43,151040.03,20.9,34.1,7.0
2026-07-05 11:25:43,143961.56,20.87,57.8,84.0
2026-07-05 11:25:44,143961.56,20.87,26.5,84.0
2026-07-05 11:25:44,143961.56,20.87,20.5,0.0
2026-07-05 11:25:45,145838.51,20.93,47.8,84.0
2026-07-05 11:25:45,149408.93,20.91,51.2,84.0
2026-07-05 11:25:46,149408.93,20.91,21.7,0.0
2026-07-05 11:25:47,148118.4,20.9,35.6,0.0
2026-07-05 11:25:47,143321.75,20.9,46.0,0.0
2026-07-05 11:25:47,143321.75,20.77,20.4,0.0
2026-07-05 11:25:48,143321.75,20.77,20.9,0.0
2026-07-05 11:25:48,143321.75,20.77,18.1,0.0
2026-07-05 11:25:49,149757.73,20.98,29.3,0.0
2026-07-05 11:25:49,147155.94,21.15,45.4,0.0
2026-07-05 11:25:50,146204.0,20.51,41.7,82.0
2026-07-05 11:25:50,146204.0,20.51,18.1,0.0
2026-07-05 11:25:51,146204.0,20.51,23.1,0.0
2026-07-05 11:25:51,146204.0,20.51,15.4,0.0
2026-07-05 11:25:52,146204.0,20.51,17.4,0.0
2026-07-05 11:25:52,146204.0,20.51,24.8,0.0
2026-07-05 11:25:53,146204.0,20.51,17.6,0.0
2026-07-05 11:25:53,146204.0,20.51,14.3,0.0
2026-07-05 11:25:54,146204.0,20.51,25.7,0.0
2026-07-05 11:25:54,146204.0,20.51,25.3,0.0
2026-07-05 11:25:55,146204.0,20.51,19.6,0.0
2026-07-05 11:25:56,146204.0,20.51,28.7,0.0
2026-07-05 11:25:56,146204.0,20.51,26.2,0.0
2026-07-05 11:25:56,146204.0,20.51,25.1,0.0
2026-07-05 11:25:57,146204.0,20.51,14.8,0.0
2026-07-05 11:25:57,146204.0,20.51,16.4,0.0
2026-07-05 11:25:58,146204.0,20.51,18.4,0.0
2026-07-05 11:25:58,146204.0,20.51,16.0,0.0
2026-07-05 11:25:59,146204.0,20.51,15.6,0.0
2026-07-05 11:25:59,146204.0,20.51,14.9,0.0
2026-07-05 11:26:00,146204.0,20.51,16.3,0.0
2026-07-05 11:26:01,146204.0,20.51,27.0,0.0
2026-07-05 11:26:01,146204.0,20.51,20.3,0.0
2026-07-05 11:26:01,146204.0,20.51,26.7,0.0
2026-07-05 11:26:02,146204.0,20.51,29.5,0.0
2026-07-05 11:26:02,146204.0,20.51,27.1,0.0
